Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ADANIENT,1-Jan-24,25-Jan-24,CE,1750,-,-,-,591.95,-,1174.95,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,1800,-,-,-,558.9,-,1125.2,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,1850,-,-,-,527.2,-,1075.5,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,1900,-,-,-,496.8,-,1025.85,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,1950,-,-,-,467.8,-,976.25,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,2000,938,938,938,938,938,938,1,8.81,2.81,1200,-,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,2050,-,-,-,413.85,-,877.6,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,2100,-,-,-,388.8,-,828.6,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,2150,-,-,-,900,900,779.95,-,-,-,300,-,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,2200,-,-,-,780,780,731.8,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,2250,-,-,-,321.1,-,684.2,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,2300,675,675,673,673,673,637.4,2,17.84,4.04,4200,-,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,2350,-,-,-,542.4,542.4,591.55,-,-,-,300,-,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,2400,590,590,560.55,560.55,560.55,560.55,5,44.68,8.68,17700,-300,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,2450,-,-,-,422.2,422.2,503.25,-,-,-,1500,-,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,2500,398.65,495.2,395.95,460.55,451,460.55,106,940.39,145.39,44700,9600,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,2550,-,-,-,519.2,519.2,420.85,-,-,-,300,-,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,2600,323,411.95,323,383.2,365.55,383.2,40,358.39,46.39,16500,-2100,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,2650,286.15,355.55,275.55,352.9,352.9,345.55,29,258.76,28.21,12000,-1200,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,2700,246,331,240,294,286.85,294,341,3077.05,314.95,72300,-21000,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,2750,258.15,293.75,251.5,262,262,262,96,869.06,77.06,24000,2700,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,2800,192.95,263.9,180,233.55,224,233.55,2108,19147.62,1440.42,312600,-70500,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,2850,170.05,234.35,157,206.05,193.85,206.05,2470,22604.66,1486.16,123300,-85800,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,2900,145.85,208.6,134.45,179.55,172,179.55,10455,96694.13,5735.63,491100,-12000,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,2950,130.55,185.2,117.15,158.45,150.25,158.45,4403,41172.25,2205.7,184500,84300,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,3000,111.5,164.55,101,140.05,132,140.05,16310,153814.31,7024.31,1077300,214500,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,3050,94.95,146.1,86.8,123.2,115.8,123.2,1476,14071.67,566.27,70500,20700,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,3100,85.05,130.5,75,108.15,100.8,108.15,6208,59823.17,2088.77,425100,82800,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,3150,75.3,115.7,66.05,96.3,87.6,96.3,1208,11773.47,357.87,60000,39300,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,3200,66.5,104.3,57.15,85.65,80,85.65,7477,73798.81,2019.61,486900,175200,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,3250,57.55,93,51,75.05,68.5,75.05,735,7344.12,177.87,62700,33000,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,3300,53.25,83.6,44.25,65.95,62.05,65.95,4338,43866.44,920.24,622200,145800,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,3350,43.25,74.55,39,58.25,55,58.25,610,6248.2,117.7,43800,17400,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,3400,39.95,66.6,33.85,49.95,47.6,49.95,2137,22150.9,353.5,210600,80700,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,3450,33.65,59,30,44.45,41.35,44.45,190,1994.63,28.13,17400,14100,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,3500,32.15,53.65,26.1,40,38.25,40,5301,56361.27,700.77,540900,83700,2917.2
ADANIENT,1-Jan-24,25-Jan-24,CE,3550,26.2,47,22.9,35.85,33,35.85,1022,11003.75,119.45,208200,38700,2917.2
ADANIENT,2-Jan-24,25-Jan-24,CE,1750,-,-,-,591.95,-,1189.85,-,-,-,-,-,2932.4
ADANIENT,2-Jan-24,25-Jan-24,CE,1800,-,-,-,558.9,-,1140.1,-,-,-,-,-,2932.4
ADANIENT,2-Jan-24,25-Jan-24,CE,1850,-,-,-,527.2,-,1090.35,-,-,-,-,-,2932.4
ADANIENT,2-Jan-24,25-Jan-24,CE,1900,-,-,-,496.8,-,1040.65,-,-,-,-,-,2932.4
ADANIENT,2-Jan-24,25-Jan-24,CE,1950,-,-,-,467.8,-,991,-,-,-,-,-,2932.4
ADANIENT,2-Jan-24,25-Jan-24,CE,2000,-,-,-,938,938,941.5,-,-,-,1200,-,2932.4
ADANIENT,2-Jan-24,25-Jan-24,CE,2050,-,-,-,413.85,-,892.1,-,-,-,-,-,2932.4
ADANIENT,2-Jan-24,25-Jan-24,CE,2100,-,-,-,388.8,-,842.95,-,-,-,-,-,2932.4
ADANIENT,2-Jan-24,25-Jan-24,CE,2150,-,-,-,900,900,794.1,-,-,-,300,-,2932.4
ADANIENT,2-Jan-24,25-Jan-24,CE,2200,-,-,-,780,780,745.65,-,-,-,-,-,2932.4
ADANIENT,2-Jan-24,25-Jan-24,CE,2250,-,-,-,321.1,-,697.75,-,-,-,-,-,2932.4
ADANIENT,2-Jan-24,25-Jan-24,CE,2300,635.3,635.3,635.3,635.3,635.3,650.5,3,26.42,5.72,5100,900,2932.4
ADANIENT,2-Jan-24,25-Jan-24,CE,2350,-,-,-,542.4,542.4,604.15,-,-,-,300,-,2932.4
ADANIENT,2-Jan-24,25-Jan-24,CE,2400,535,566,535,566,566,558.8,5,44.2,8.2,18000,300,2932.4
ADANIENT,2-Jan-24,25-Jan-24,CE,2450,-,-,-,422.2,422.2,514.65,-,-,-,1500,-,2932.4
ADANIENT,2-Jan-24,25-Jan-24,CE,2500,445,483.8,395,476.35,475,476.35,111,975.6,143.1,48000,3300,2932.4
ADANIENT,2-Jan-24,25-Jan-24,CE,2550,-,-,-,519.2,519.2,430.7,-,-,-,300,-,2932.4
ADANIENT,2-Jan-24,25-Jan-24,CE,2600,370,396.95,309.6,383.35,380.85,383.35,50,441.61,51.61,17100,600,2932.4
