Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ADANIENT,1-Jan-24,25-Jan-24,PE,1750,-,-,-,107.55,-,0.05,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,1800,3.45,4,3.45,3.95,3.6,3.95,25,135.28,0.28,22800,3300,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,1850,-,-,-,141.05,-,0.15,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,1900,-,-,-,4.05,4.05,0.3,-,-,-,300,-,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,1950,-,-,-,179.9,-,0.5,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,2000,7.5,7.7,5.5,6.35,6.9,6.35,100,601.94,1.94,95700,10800,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,2050,-,-,-,224.15,-,1.35,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,2100,8.65,9.7,6.15,6.55,6.55,2.15,9,56.93,0.23,13800,600,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,2150,-,-,-,25.1,25.1,3.25,-,-,-,900,-,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,2200,10.25,10.5,8.55,9.5,9.45,9.5,112,742.42,3.22,116400,-9900,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,2250,-,-,-,327.8,-,7.1,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,2300,13.8,13.9,11.9,12.35,12.65,12.35,262,1817.76,9.96,122100,900,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,2350,15.55,16.2,13.65,14.85,15.3,14.85,111,787.46,4.91,12900,-1800,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,2400,21.8,21.85,16,16.8,18,16.8,722,5235.94,37.54,153900,-7200,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,2450,23.5,23.5,18.95,20.35,21,20.35,112,830.14,6.94,19500,-3300,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,2500,28.3,29.15,22.6,24.5,25.2,24.5,1515,11475,112.5,255300,9900,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,2550,37.5,37.5,27.5,29.85,31,29.85,259,2005.08,23.73,40800,-9300,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,2600,45.55,45.6,34.2,36.8,38.55,36.8,2334,18472.26,267.06,250200,-80700,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,2650,57.1,57.15,42.85,46.95,48.55,46.95,553,4474.79,78.44,75600,3000,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,2700,70.85,71.35,53.65,57.6,59.05,57.6,3450,28560.82,615.82,498900,-27600,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,2750,90,91,67.75,72.4,75.3,72.4,716,6069.99,162.99,64500,300,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,2800,98.45,113.1,85,90.5,93,90.5,3667,31850.61,1047.81,393600,60000,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,2850,140,140,104.9,111.75,115.6,111.75,1232,10967.69,434.09,92100,8700,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,2900,165,167,127.35,136.5,140,136.5,4085,37251.29,1711.79,291000,72600,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,2950,190,196.25,154.1,164.6,167.75,164.6,865,8078.94,423.69,43500,19200,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,3000,232.3,232.3,182.05,195.05,201.7,195.05,1071,10267.95,628.95,330600,73200,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,3050,262.1,262.25,215.15,232.5,230.75,232.5,84,826.68,58.08,13800,-1800,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,3100,300.9,305.45,249.45,260.9,269.8,260.9,177,1788.37,142.27,79500,10500,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,3150,315,315,286.7,303.5,305.15,303.5,29,300.16,26.11,3000,2700,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,3200,384.1,384.1,321.9,336.25,344.55,336.25,75,795.13,75.13,54300,5100,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,3250,374.1,374.1,363.2,363.2,363.2,389.85,14,151.88,15.38,1800,-3300,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,3300,-,-,-,478.55,478.55,429.05,-,-,-,81600,-,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,3350,450.95,450.95,450.95,450.95,450.95,469.55,1,11.4,1.35,300,300,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,3400,-,-,-,585,585,511.3,-,-,-,1800,-,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,3450,-,-,-,1031.65,-,554.2,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,25-Jan-24,PE,3500,-,-,-,665,665,598.05,-,-,-,9600,-,2917.2
