Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ADANIENT,1-Jan-24,29-Feb-24,CE,1950,-,-,-,573.95,-,998.65,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,2000,-,-,-,542.3,-,952.3,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,2050,-,-,-,511.85,-,906.65,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,2100,-,-,-,482.85,-,861.75,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,2150,-,-,-,455.05,-,817.7,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,2200,-,-,-,428.6,-,774.6,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,2250,-,-,-,403.35,-,732.55,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,2300,-,-,-,379.3,-,691.55,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,2350,-,-,-,356.45,-,651.75,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,2400,-,-,-,334.8,-,613.2,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,2450,-,-,-,314.25,-,575.95,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,2500,540,540,540,540,540,540.05,1,9.12,1.62,300,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,2550,-,-,-,276.35,-,505.5,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,2600,-,-,-,258.95,-,472.45,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,2650,-,-,-,242.55,-,440.75,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,2700,-,-,-,227.05,-,410.6,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,2750,-,-,-,212.45,-,381.85,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,2800,-,-,-,198.7,-,354.55,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,2850,-,-,-,185.8,-,328.75,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,2900,260,314,251.65,284.95,284.95,284.95,20,191.77,17.77,4800,1800,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,2950,-,-,-,162.35,-,281.3,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,3000,217.85,273.7,205.7,247.8,241,247.8,78,759.73,57.73,16500,7500,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,3050,-,-,-,141.65,-,239.35,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,3100,175,229,175,225.25,225.25,220.35,14,139.48,9.28,2700,2700,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,3150,-,-,-,123.45,-,202.55,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,3200,-,-,-,115.2,-,186,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,3250,-,-,-,107.4,-,170.55,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,3300,153,164.55,148,148,148,148,10,103.74,4.74,3300,2100,2917.2
ADANIENT,1-Jan-24,29-Feb-24,CE,3350,-,-,-,93.35,-,142.9,-,-,-,-,-,2917.2
