Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ADANIENT,1-Jan-24,29-Feb-24,PE,1950,-,-,-,130.45,-,10.35,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,PE,2000,-,-,-,147.95,-,13.45,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,PE,2050,-,-,-,166.6,-,17.25,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,PE,2100,-,-,-,186.65,-,21.8,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,PE,2150,-,-,-,208,-,27.25,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,PE,2200,-,-,-,68.05,68.05,33.6,-,-,-,300,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,PE,2250,-,-,-,254.5,-,40.95,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,PE,2300,-,-,-,279.55,-,49.45,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,PE,2350,-,-,-,305.8,-,59.1,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,PE,2400,49.95,49.95,41.25,45,45,45,4,29.34,0.54,1800,1200,2917.2
ADANIENT,1-Jan-24,29-Feb-24,PE,2450,-,-,-,361.8,-,82.2,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,PE,2500,56.35,56.35,56.35,56.35,56.35,95.75,1,7.67,0.17,2400,300,2917.2
ADANIENT,1-Jan-24,29-Feb-24,PE,2550,-,-,-,422.1,-,110.7,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,PE,2600,85,86,79.7,85.9,85.8,85.9,19,153.03,4.83,8100,5700,2917.2
ADANIENT,1-Jan-24,29-Feb-24,PE,2650,-,-,-,486.5,-,144.85,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,PE,2700,120,130,120,125,125,125,23,194.84,8.54,4200,4200,2917.2
ADANIENT,1-Jan-24,29-Feb-24,PE,2750,-,-,-,554.65,-,184.85,-,-,-,-,-,2917.2
ADANIENT,1-Jan-24,29-Feb-24,PE,2800,178,178,158.55,160,160,207.05,18,159.96,8.76,3300,3300,2917.2
